Front,Back,Tags
"What do <b>parallel keys</b> share?","The same starting note (but different key signatures)","lesson::002 type::concept topic::keys"
"C major and A minor are examples of what type of keys?","Relative keys (both have no sharps or flats)","lesson::002 type::concept topic::keys"
"C major and C minor are examples of what type of keys?","Parallel keys (both start on C)","lesson::002 type::concept topic::keys"
"Memory tip: How to remember relative vs. parallel keys?","""Relative"" keys share DNA (key signature). ""Parallel"" keys start at the same point (same note) but go different directions (different key signatures).","lesson::002 type::concept topic::keys"
"What mnemonic helps remember <b>bass clef lines</b> (G-B-D-F-A)?","""Good Boys Do Fine Always""","lesson::002 type::concept topic::notation"
"What mnemonic helps remember <b>bass clef spaces</b> (A-C-E-G)?","""All Cows Eat Grass""","lesson::002 type::concept topic::notation"
"What are the bass clef <b>line notes</b> from bottom to top?","G - B - D - F - A","lesson::002 type::concept topic::notation"
"What are the bass clef <b>space notes</b> from bottom to top?","A - C - E - G","lesson::002 type::concept topic::notation"
"What mnemonic helps remember <b>treble clef lines</b> (E-G-B-D-F)?","""Every Good Boy Does Fine""","lesson::002 type::concept topic::notation"
"What mnemonic helps remember <b>treble clef spaces</b> (F-A-C-E)?","""FACE"" (the word itself)","lesson::002 type::concept topic::notation"
